stop_id,level_id,stop_name,stop_lat,stop_lon,location_type,parent_station
MttNRhjN, ,Narayanapuram, 12.939680883600676, 80.20558241790764, 0,
aIerxCRO, ,Vidyodaya School Valluvar Kottam, 13.050953405529862, 80.24058303355923, 0,
MKwfjOZk, ,Little Holy School, 13.106641957012911, 80.17978936441804, 0,
pMUlUuQz, ,Thommaram Bedu, 13.32918676166057, 79.92155234905476, 0,
zIStuEkQ, ,Caption T V Office, 13.050191, 80.154507, 0,
PZviXSbJ, ,Saraswathi Nagar, 12.979143890444197, 80.20728734445142, 0,
YhQOzAWJ, ,Dhandeeswaran Nagar, 12.985457208036678, 80.22324888678247, 0,
pfeYSjby, ,Panapakkam, 13.375983093672502, 80.1378608817322, 0,
zTCljsJK, ,Cosmo City, 12.806199102282466, 80.20065480430605, 0,
zoCLIaTF, ,Lakshmi Nagar, 12.956364693817516, 80.1319763760748, 0,
VCDwRKse, ,Gandhi Nagar, 13.097087242266026, 80.21720570861953, 0,
vzxNFPeZ, ,Gkm Colony Main Road, 13.110445449185212, 80.2222713061342, 0,
PUxPYWRN, ,Swamy Nagar Krishna Sweet, 12.974775938408824, 80.19248168007404, 0,
fubLBmAl, ,Saidapet Veterinary Hospital Or Raja Hostel, 13.025144344408464, 80.22976399085928, 0,
wssOAckJ, ,IT Park Siruseri Or Muttukadu, 12.83264936, 80.22916363, 0,
MlYFoaez, ,Annaikattucherry, 13.104757902200447, 80.05845381605809, 0,
tYpogBTU, ,Wallajapet Bus Stand, 12.925687, 79.364241, 0,
TFYkWDkw, ,Poonjeri Government Hospital, 12.61898581155963, 80.18018439789324, 0,
jkZnMKOY, ,Amindanallur, 13.288067097709748, 80.11176182852614, 0,
tJbXQuOE, ,Pudur, 13.130294007943425, 80.15855955729944, 0,
HbKQFQGA, ,Thataimanji, 13.378331969181241, 80.27964926323773, 0,
prUQvyGs, ,Guduvancheri Railway Station, 12.844840557378944, 80.05919282293416, 0,
FbsIVmUv, ,Balaji Palayam, 13.15292324857236, 80.25763679858542, 0,
CnkysfSO, ,Mylapore Police Station, 13.03503012467018, 80.2708755768167, 0,
iOuVBZzk, ,Adyar Signal, 13.00648356707115, 80.25736646974485, 0,
rmodmoYX, ,Forth Street, 13.127425326009838, 80.07926396203118, 0,
IvqxNjHK, ,Welding Shop Kolathur, 13.1240055850199, 80.22206191388045, 0,
AosTMSAk, ,Pattaravakkam Railway Station, 13.115766228512625, 80.16654939782043, 0,
MbHMLdfx, ,Kuppammal Chathiram, 13.152084057894228, 79.85773429876838, 0,
